State,Area_Name,PCTPOVALL_2015,PCTPOV017_2015,MEDHHINC_2015
GA,Lamar County,21,29.3,42177
GA,Lanier County,21.8,35.9,37616
GA,Laurens County,25.5,36,36960
GA,Lee County,10.7,16.1,68636
GA,Liberty County,20.3,27.3,39612
GA,Lincoln County,21.4,31.9,39089
GA,Long County,19.1,27.7,42542
GA,Lowndes County,26.5,32.4,37699
GA,Lumpkin County,16.5,22.4,48101
GA,McDuffie County,27.4,40.5,36346
GA,McIntosh County,24,39.3,38770
GA,Macon County,33.5,43.6,30696
GA,Madison County,15.1,23,40735
GA,Marion County,25.5,40.1,35265
GA,Meriwether County,22.1,33.7,37866
GA,Miller County,25.1,37.8,35357
GA,Mitchell County,28,38.1,34139
GA,Monroe County,14.2,19.5,53070
GA,Montgomery County,24.3,32.2,36821
GA,Morgan County,14.3,22.8,51081
GA,Murray County,17.8,26.7,43142
GA,Muscogee County,22.2,31.1,41828
GA,Newton County,14.9,23.3,51177
GA,Oconee County,6.8,8.6,76371
GA,Oglethorpe County,16.9,25.2,43428
GA,Paulding County,8.8,12.7,62658
GA,Peach County,22,33.4,41725
GA,Pickens County,12.6,22.2,56289
GA,Pierce County,22.1,31.1,39648
GA,Pike County,11.7,16.9,56233
GA,Polk County,20.8,32.3,39402
GA,Pulaski County,24.4,34.5,39209
GA,Putnam County,18.1,33.1,44323
GA,Quitman County,28.9,47.9,29921
GA,Rabun County,16.1,28.1,40834
GA,Randolph County,26.9,44.1,30505
GA,Richmond County,24.3,37.7,40821
GA,Rockdale County,15.9,26,51510
GA,Schley County,19.5,29,41737
GA,Screven County,27,40,35911
GA,Seminole County,25.8,42.7,31615
GA,Spalding County,22.2,35.5,41250
GA,Stephens County,21.2,31,38503
GA,Stewart County,42,48.4,28977
GA,Sumter County,30.8,48.1,33802
GA,Talbot County,25.6,41.8,33510
GA,Taliaferro County,33.5,54.4,28952
GA,Tattnall County,27.5,36.1,37163
GA,Taylor County,27.3,41.1,32041
GA,Telfair County,34.7,42.2,31149
GA,Terrell County,36.5,55.7,32342
GA,Thomas County,21.7,32.4,40449
GA,Tift County,27.1,39.8,39988
GA,Toombs County,25.1,39,34953
GA,Towns County,16.7,26.6,39782
GA,Treutlen County,28.7,41.6,32086
GA,Troup County,19.3,28.4,41289
GA,Turner County,28.4,44.8,35117
GA,Twiggs County,26.3,35.1,36086
GA,Union County,14.3,26.7,42782
GA,Upson County,22.7,33.7,37864
GA,Walker County,18.8,26.5,42249
GA,Walton County,12.7,19.3,57312
GA,Ware County,28.4,45.6,35270
GA,Warren County,27.7,43.9,32350
GA,Washington County,26.3,36.5,36499
GA,Wayne County,20.8,32.8,41466
GA,Webster County,23.6,36.1,35770
GA,Wheeler County,39.3,39.2,30926
GA,White County,15.2,24.9,43598
GA,Whitfield County,15.3,22.1,45921
GA,Wilcox County,30.4,40.4,32480
GA,Wilkes County,22.9,34.7,34031
GA,Wilkinson County,20.9,34.2,38103
GA,Worth County,21.7,34.3,39560
HI,Hawaii,10.7,14.5,73097
HI,Hawaii County,18.3,28.5,54914
HI,Honolulu County,9.2,11.5,76544
HI,Kalawao County,NA,NA,NA
HI,Kauai County,11.2,15.9,70122
HI,Maui County,10.7,15.3,68684
ID,Idaho,14.7,17.7,48311
ID,Ada County,11.7,12.2,58431
ID,Adams County,15.8,26.5,39943
ID,Bannock County,22.3,22.2,43298
ID,Bear Lake County,13.7,19.7,48309
ID,Benewah County,18,25.5,41368
ID,Bingham County,14,18.2,49644
ID,Blaine County,8.9,12,65272
ID,Boise County,14.4,23,52728
ID,Bonner County,15.8,23.6,44072
ID,Bonneville County,13.2,16.7,54008
ID,Boundary County,15.8,24.3,41803
ID,Butte County,15.9,20.2,43780
ID,Camas County,10.7,15.4,46203
ID,Canyon County,15.9,19.1,44585
ID,Caribou County,10.8,14,57017
ID,Cassia County,16.7,20.5,47932
ID,Clark County,15.3,16.5,40098
ID,Clearwater County,15.3,24,42630
ID,Custer County,14,19.5,45801
ID,Elmore County,15,21.7,44509
ID,Franklin County,9.7,13,53901
ID,Fremont County,15,24.1,49555
ID,Gem County,15.8,24.2,44017
ID,Gooding County,13.9,21.3,48950
ID,Idaho County,16.3,23,41157
ID,Jefferson County,10.5,13.9,53555
ID,Jerome County,15.8,21.7,47034
ID,Kootenai County,14.7,19.2,48864
ID,Latah County,19.6,14.5,46360
ID,Lemhi County,17.6,26.8,40087
ID,Lewis County,16.3,26.8,41688
ID,Lincoln County,14.5,23.6,46168
ID,Madison County,28.1,18.6,38065
ID,Minidoka County,17,20.7,45429
ID,Nez Perce County,13.5,18.5,50939
ID,Oneida County,12.2,18.1,47037
ID,Owyhee County,19.9,30.2,39738
ID,Payette County,15.7,22,44499
ID,Power County,14.1,20.8,44004
ID,Shoshone County,21.1,30.3,37497
ID,Teton County,9.8,15.9,58013
ID,Twin Falls County,14.6,19.3,45799
ID,Valley County,10.7,18.1,51774
ID,Washington County,17.1,25,38592
IL,Illinois,13.6,19.1,59590
IL,Adams County,13.4,18.9,47264
IL,Alexander County,28.6,52.2,32922
IL,Bond County,14.8,19.1,50206
IL,Boone County,10.3,14.5,62382
IL,Brown County,16.7,15.8,53516
IL,Bureau County,12.6,19.3,51275
IL,Calhoun County,11.6,15.5,51109
IL,Carroll County,10.7,19.3,50432
IL,Cass County,12.2,18.1,46647
IL,Champaign County,20.1,18.3,50813
IL,Christian County,12.7,19.2,49041
IL,Clark County,13.8,21.5,50700
IL,Clay County,14.5,21.1,43577
IL,Clinton County,8.5,12,64030
IL,Coles County,21.8,24.5,42613
IL,Cook County,16.2,23.5,56841
IL,Crawford County,13.4,20.2,49856
IL,Cumberland County,12,17.5,51505
IL,DeKalb County,16.2,16.3,56874
IL,De Witt County,11.6,19.3,54796
IL,Douglas County,10.2,16.3,53213
IL,DuPage County,7.1,9.2,81616
IL,Edgar County,13.9,22.6,50306
IL,Edwards County,11.3,15.9,48329
IL,Effingham County,9.8,14.1,53077
IL,Fayette County,18.5,29.8,41838
IL,Ford County,11.3,18.1,53151
IL,Franklin County,18.7,28.2,43428
IL,Fulton County,14.9,21,44649
IL,Gallatin County,17.9,27.7,40817
IL,Greene County,16.6,23.4,43943
IL,Grundy County,7.7,10.2,71928
IL,Hamilton County,13,22.4,45926
IL,Hancock County,12.7,19,48213
IL,Hardin County,20.6,35.6,39128
IL,Henderson County,11.5,18.8,47354
IL,Henry County,10.7,14.7,58983
IL,Iroquois County,13.3,20.1,49836
IL,Jackson County,23.5,29.7,36613
IL,Jasper County,12,16.7,52608
IL,Jefferson County,16.7,26.5,46460
IL,Jersey County,11.4,16.4,53864
IL,Jo Daviess County,9.4,13.5,51201
IL,Johnson County,14.3,19.5,46838
IL,Kane County,10.8,16.1,70502
IL,Kankakee County,15.2,22.3,53227
IL,Kendall County,4.8,6.6,88773
IL,Knox County,17.2,26.8,43796
IL,Lake County,9,12.3,82160
IL,La Salle County,12.9,19.6,52316
IL,Lawrence County,17.7,23.4,43268
IL,Lee County,12.7,18.1,52581
IL,Livingston County,12.8,18.2,55474
IL,Logan County,13.7,20.1,58191
IL,McDonough County,22.8,26,42453
IL,McHenry County,8.1,10.7,80513
IL,McLean County,11.7,11.6,65766
IL,Macon County,18.2,27.7,48302
IL,Macoupin County,13.7,21.1,50460
IL,Madison County,12.9,17.7,52969
IL,Marion County,18,29.5,43018
IL,Marshall County,10.6,16.3,53610
IL,Mason County,13.9,23.3,43743
IL,Massac County,16.8,26.5,41548
IL,Menard County,10.3,16.6,64706
IL,Mercer County,10.1,13.8,57934
IL,Monroe County,5,5.5,79686
IL,Montgomery County,16.6,24.2,46006
IL,Morgan County,14.8,22.3,45259
IL,Moultrie County,8.6,15.6,58975
IL,Ogle County,10.4,14.5,57268
IL,Peoria County,15.6,23,53781
IL,Perry County,16.8,23.6,46598
IL,Piatt County,6.5,9.2,65122
IL,Pike County,15,22.9,45106
IL,Pope County,18.1,30.6,41150
IL,Pulaski County,24.7,39.9,35135
IL,Putnam County,8.8,16,60590
IL,Randolph County,14.3,19.7,50129
IL,Richland County,14.9,20.3,43332
IL,Rock Island County,13.2,20.8,50419
IL,St. Clair County,16.4,25.6,50416
