EventDate,TheatreCode
16920409,none
16920413,none
16920430,atcourt
16920502,dg
16920514,none
16920600,dl
16920613,dg
16920615,none
16920714,dlordg
16920720,dlordg
16920800,dldg
16920824,dlordg
16920913,sf
16921000,none
16921013,dlordg
16921029,city
16921100,dl
16921101,yb
16921105,it
16921105,atcourt
16921108,dl
16921109,dl
16921110,dl
16921111,dl
16921112,dl
16921114,none
16921122,sh
16921130,dl
16921202,dl
16921209,dl
16921221,none
16930100,none
16930101,atcourt
16930102,atcourt
16930110,bg
16930116,dl
16930130,none
16930200,dl
16930203,bg
16930216,dg
16930300,dl
16930300,dl
16930323,bg
16930400,dl
16930400,dl
16930410,none
16930430,atcourt
16930500,dg
16930500,atcourt
16930500,dg
16930509,none
16930510,none
16930513,yb
16930610,atcourt
16930614,none
16930617,yb
16930707,oxford
16930809,none
16930831,bf
16930907,sf
16931000,dlordg
16931000,dl
